CybORG v1.0, Scenario1b
author: John, team: Cardiff-Airbus, technique: DDQN
wrappers: ChallengeWrapper(agent_name, env)
steps: 30, adversary: B_lineAgent, mean: -8.809999999999995, standard deviation 4.678545487519375
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.118.208/28'), ('Sleep', 'DiscoverNetworkServices 10.0.118.221'), ('Sleep', 'ExploitRemoteService 10.0.118.221'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.6.70'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.6.70'), ('Remove User1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.6.64/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.6.74'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.6.74'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.6.74'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.6.74'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.6.74'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.102.37'), ('Restore Enterprise2', 'ExploitRemoteService 10.0.102.37'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.6.74'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.6.74'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.6.74'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.6.74'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.6.74'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.6.74')], total reward: -9.799999999999994
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.49.80/28'), ('Sleep', 'DiscoverNetworkServices 10.0.49.83'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.49.83'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.109.22'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.109.22'), ('Remove User1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.109.16/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.109.27'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.109.27'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.27'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.27'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.27'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.27'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.27'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.136.125'), ('Restore Enterprise2', 'ExploitRemoteService 10.0.136.125'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.27'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.27'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.27'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.27')], total reward: -9.799999999999994
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.240.0/28'), ('Sleep', 'DiscoverNetworkServices 10.0.240.2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.240.2'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.183.233'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.183.233'), ('Remove User1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.183.224/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.183.230'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.183.230'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.183.230'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.183.230'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.183.230'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.183.230'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.183.230'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.183.230'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.183.230'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.183.230'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.183.230'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.183.230')], total reward: -6.799999999999994
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.105.192/28'), ('Sleep', 'DiscoverNetworkServices 10.0.105.206'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.105.206'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.124.3'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.124.3'), ('Remove User1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.124.0/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.124.9'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.124.9'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.124.9'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.124.9'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.124.9'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.124.9'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.124.9'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.124.9'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.124.9'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.124.9'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.124.9'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.124.9')], total reward: -6.799999999999994
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.15.160/28'), ('Sleep', 'DiscoverNetworkServices 10.0.15.172'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.15.172'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.132.119'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.132.119'), ('Remove User1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.132.112/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.132.116'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.132.116'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.132.116'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.132.116'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.132.116'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.132.116'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.132.116'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.132.116'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.125.2'), ('Restore Enterprise2', 'ExploitRemoteService 10.0.125.2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.132.116'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.132.116'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.132.116')], total reward: -9.799999999999994
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.22.240/28'), ('Sleep', 'DiscoverNetworkServices 10.0.22.251'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.22.251'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.104.18'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.104.18'), ('Remove User1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.104.16/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.104.25'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.104.25'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.104.25'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.104.25'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.104.25'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.104.25'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.104.25'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.104.25'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.104.25'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.104.25'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.104.25'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.104.25')], total reward: -6.799999999999994
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.231.128/28'), ('Sleep', 'DiscoverNetworkServices 10.0.231.136'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.231.136'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.120.100'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.120.100'), ('Remove User1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.120.96/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.120.104'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.120.104'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.120.104'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.120.104'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.120.104'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.120.104'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.120.104'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.120.104'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.120.104'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.120.104'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.120.104'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.120.104')], total reward: -6.799999999999994
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.248.208/28'), ('Sleep', 'DiscoverNetworkServices 10.0.248.221'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.248.221'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.109.237'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.109.237'), ('Remove User1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.109.224/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.109.236'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.109.236'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.236'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.236'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.236'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.236'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.236'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.236'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.236'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.236'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.236'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.109.236')], total reward: -6.799999999999994
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.128.48/28'), ('Sleep', 'DiscoverNetworkServices 10.0.128.57'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.128.57'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.140.133'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.140.133'), ('Remove User1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.140.128/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.140.136'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.140.136'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.140.136'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.140.136'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.140.136'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.140.136'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.140.136'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.140.136'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.140.136'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.140.136'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.140.136'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.140.136')], total reward: -6.799999999999994
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.130.80/28'), ('Sleep', 'DiscoverNetworkServices 10.0.130.83'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.130.83'), ('Analyse Enterprise2', 'PrivilegeEscalate User1'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.78.247'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.78.247'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.78.240/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.78.251'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.78.251'), ('Remove Op_Host2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.54.33'), ('Restore Enterprise2', 'ExploitRemoteService 10.0.54.33'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.78.251'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.78.251'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.78.251'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.78.251'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.78.251'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.78.251'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.78.251'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.78.251'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.78.251')], total reward: -7.799999999999994
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.106.96/28'), ('Sleep', 'DiscoverNetworkServices 10.0.106.98'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.106.98'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.222.220'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.222.220'), ('Remove User1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.222.208/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.222.212'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.222.212'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.212'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.212'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.212'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.212'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.212'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.212'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.212'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.212'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.212'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.222.212')], total reward: -6.799999999999994
